_0000000 0438191033483                              Sylvie Inge M 0502
_0000000 1726197902775                            Ileen Blakely F 1101
_0000000 0628196091563                       Pearlie Stansberry F 0415
_0000000 1850191989586                          Lucio Blakeslee M 0601
_0000000 0808199667995                              Hana Westby F 0823
_0000000 1448192770454                              Billy Kizer M 1101
_0000000 1507198258759                              Noah Pineda M 1104
_0000000 0217195840149                              Laila Devin F 0505
_0000000 1324198388713                             Graham Duley M 0415
_0000000 1406194239410                            Violet Pascua M 1001
_0000000 0613195859367                         Natisha Devaughn M 0101
_0000000 0727193383894                            Yasmine Porco F 0501
_0000000 0614190563621                          Armanda Dalpiaz M 1601
_0000000 1547195272605                             Tisha Dobbin M 1101
_0000000 1811192717968                          Vivan Pilkenton F 0301
_0000000 1840196126001                           Darlene Durden F 1501
_0000000 0705195114333                           Michelle Barto F 1601
_0000000 0322194768314                              Austin Bagg F 0801
_0000000 1603190861538                          Vivian Murawski F 0308
_0000000 1730191218390                              Lala Amsler F 0308
_0000000 0831190282751                           Sueann Yeldell M 0107
_0000000 0249196533990                             Genesis Gale M 0409
_0000000 0347199487629                         Shondra Holliman F 0318
_0000000 0225194141110                       Harriett Deschamps M 0701
_0000000 1610191397615                             Hiedi Seiler M 0901
_0000000 1005190802815                             Pinkie Jesus M 0826
_0000000 0544195256962                             Ivette Fines F 0201
_0000000 1816199650761                          Manual Barnhill F 0823
_0000000 0515192613101                        Augustine Moulden M 0506
_0000000 0304193755631                               Herma Rega M 0404
_0000000 1505193717208                          Richelle Donlan F 0318
_0000000 1420196042977                             Colby Marsch M 0701
_0000000 1526194253283                             Vesta Curley M 0823
_0000000 0102198808773                        Hipolito Preusser F 0318
_0000000 0845197527441                            Ada Gilmartin M 0502
_0000000 0718195521280                          Lina Delosantos F 0201
_0000000 1014195674104                           Nettie Derosia F 0801
_0000000 1245197281077                            Rossie Weiner F 1201
_0000000 1625195261429                              Mae Thaxton F 1601
_0000000 1232194762819                            Lynell Petrey F 0501
_0000000 1522198920489                       Desmond Hendershot F 0506
_0000000 1307199415674                               Opal White F 1201
_0000000 0717190846714                            Bettie Styons M 1501
_0000000 0516193184110                          Margene Newbury F 0101
_0000000 1749191988279                           Nella Mogensen F 0306
_0000000 1032195564682                          Willetta Kovacs M 0415
_0000000 1501195604989                          Ursula Laurence F 0401
_0000000 0212192197489                              Eloy Kenney M 0401
_0000000 0840194927874                           Lindy Salguero F 0701
_0000000 1033195266527                        Krystyna Mcfarren M 1501
_0000000 0824194215880                          Rubie Parramore F 0308
_0000000 0744192010626                           Gregoria Boren M 0301
_0000000 0842196300518                         Willette Kershaw M 0306
_0000000 1214191498386                            Paige Huggins M 0701
_0000000 0536192251737                          Vance Turnquist M 1201
_0000000 1617195793011                              Madie Fonda M 0318
_0000000 0513197396078                              Else Justus F 0601
_0000000 0816193503577                           Jodi Leibowitz M 0701
_0000000 0545198243773                           Tanner Mcmains M 1101
_0000000 1613190004057                        Jeanette Oldfield M 0318
_0000000 0926197754085                        Monnie Dauphinais M 0823
_0000000 1334195660981                         Catherina Danley F 0101
_0000000 0713199547034                          Irmgard Coursey M 0404
_0000000 0436195007370                            Katelyn Irish M 0404
_0000000 1808195369754                     Jeannette Dunnington M 0404
_0000000 0324192769352                         Bobbye Jezierski F 0505
_0000000 1802193823527                            Gema Harville M 0901
_0000000 1805199743860                            Annita Dinges M 1701
_0000000 1531192850431                              Tony Padron F 0401
_0000000 0505198884956                           Bryon Champion F 0826
_0000000 1509197501557                          Weldon Copeland M 0101
_0000000 0915193470920                               Nelly Gile F 0308
_0000000 0931196100631                           Bette Kluender F 0505
_0000000 0727197448271                              Britni Garr M 0506
_0000000 0314190855031                          Trinidad Lindow F 0107
_0000000 1348192383787                          Bernice Laforce M 1501
_0000000 0806194207831                            Maryam Shambo M 0404
_0000000 0441195954897                          Jolynn Beauvais M 0301
_0000000 0215195981278                           Peggie Vicente F 1601
_0000000 0419198335705                            Niki Stradley M 1001
_0000000 0433194121425                            Isaura Caskey F 1201
_0000000 0735197392035                          Asa Kazmierczak F 0308
_0000000 1518191446332                           Norine Koester F 0502
_0000000 0424196816820                              Eloy Probst F 0501
_0000000 1518196390423                           Matthew Demars F 0506
_0000000 1734192392946                        Magdalen Alberson M 0826
_0000000 0644195809832                        Francine Penaloza M 0505
_0000000 0405194681379                           Lauralee Braga F 0506
_0000000 1738192291400                             Genie Barter F 0404
_0000000 1335196848482                            Seema Schrupp F 0823
_0000000 0412199685437                          Lillia Tolliver F 0601
_0000000 1642193345486                            Rachelle Wang F 0502
_0000000 0311194204342                          Serafina Broker F 1601
_0000000 1132192327349                        Venessa Victorian F 0901
_0000000 0542192647733                          Abigail Hayford M 0318
_0000000 0102196268973                           Dena Keplinger F 0409
_0000000 1635195996702                              Karrie Wier M 0415
_0000000 1643191171260                            Tatyana Speas F 0415
_0000000 1629192707711                            Milton Banner M 0501
_0000000 1229192547134                           Ryann Crinklaw M 0501
_0000000 0843190751094                            Dante Iraheta F 0404
_0000000 1432194609268                            Judith Fetzer M 1001
_0000000 0710193612932                           Vincenzo Kempf M 0823
_0000000 0707198246602                           Arnulfo Larose F 1501
_0000000 0601197157539                               Loma Pavao M 1101
_0000000 0307195767963                            Sandee Ovalle M 1101
_0000000 1122192730391                               Roger Toto F 0701
_0000000 1603191565370                              Ranae Rosel M 0823
_0000000 0744199017738                          Chelsey Sonnier F 0301
_0000000 1407196006547                           Letisha Synder F 1401
_0000000 1014191095953                           Pennie Mcsween F 0318
_0000000 0948198939163                         Priscila Warshaw F 1401
_0000000 1744192398582                            Winnie Ehmann M 0506
_0000000 1421197542286                               Tuyet Lona M 0318
_0000000 1604191950860                        Cristina Schleich M 1001
_0000000 0310196283883                             Yuk Marquess F 0501
_0000000 0624198330110                              Dorie Leber F 0318
_0000000 1241190055570                           Rosann Navarro M 0404
_0000000 0116199760141                          Jacquelin Witty M 1101
_0000000 1135196016388                           Billi Lavergne F 0401
_0000000 1636195398929                             Stacee Futch M 0401
_0000000 1630197645579                         Shaina Hunsucker M 0409
_0000000 1007196456751                          Rupert Krehbiel M 1101
_0000000 1328196803272                         Madlyn Cambareri F 1201
_0000000 1827195767805                            Sau Swartwood M 1104
_0000000 1147196904486                           Arletta Azcona M 0826
_0000000 0739191267123                               Lora Vargo M 0415
_0000000 0740190164508                           Lynda Dubinsky F 0501
_0000000 0140190275746                             Kanesha Mask M 0601
_0000000 0621194274834                               Elda Milum M 0501
_0000000 1410195006520                           Noreen Oreilly F 0101
_0000000 1403194121719                        Marylynn Caperton F 1201
_0000000 1628191984103                        Santana Whiteside F 0506
_0000000 0850196419452                             Rema Maroney F 0601
_0000000 1623196268321                           Zulema Lanning F 1201
_0000000 0602195141643                            Tessa Brierly M 0502
_0000000 1540197782292                             Marta Fadden M 0404
_0000000 0112198093589                             Lannie Racey F 0901
_0000000 1422193101892                            Bibi Berglund F 0601
_0000000 0412191100031                               Deja Levan F 0506
_0000000 0343199000137                             Andrew Reger M 1701
_0000000 1726198397845                        Evelia Wawrzyniak F 0306
_0000000 1814193434071                            Drucilla Moll F 0306
_0000000 0649196693597                             Gayle Lehrer M 1401
_0000000 0801196635009                              Karen Primm F 1501
_0000000 0528190179809                     Rolando Weatherspoon M 0505
_0000000 1638194172358                        Laurena Longshore M 1201
_0000000 0908191859996                         Celestine Brogan F 1401
_0000000 1328194230257                          Celeste Bolyard F 0308
_0000000 1017196732500                              Euna Godley M 0318
_0000000 1011195576384                             Elton Dingle M 0826
_0000000 1047191729187                     Herlinda Messersmith M 0306
_0000000 0503197272956                         Nathaniel Rieves M 0101
_0000000 0638195433136                            Martin Bilger M 1101
_0000000 0227196627337                            Sherie Kaspar F 0301
_0000000 1003198740763                            Jaunita Ploss F 0415
_0000000 0808193432499                           Alaine Laraway M 1104
_0000000 1336191894460                        Evelynn Jacquemin F 0306
_0000000 1724199300149                           Cassy Schriver M 1101
_0000000 1510196503124                             Karry Cooley F 0301
_0000000 1419197669295                         Marcie Moskowitz M 0107
_0000000 0808197601547                               Ta Manahan F 0801
_0000000 0531192024843                           Shavon Gartman F 1401
_0000000 0518196953399                             Modesto Fike F 1401
_0000000 1317194815876                            Beaulah Edick M 0409
_0000000 0804191888041                           Alease Carolan F 0701
_0000000 1131198689920                          Agustina Curcio M 0401
_0000000 1637198793046                             Louise Albro M 0901
_0000000 0636190581632                           Lavonne Masden F 0107
_0000000 1146192286689                           Lynne Primeaux F 0409
_0000000 1632195293077                          Shemika Mulhern M 0506
_0000000 1837194376646                            Rudolf Demelo M 0901
_0000000 0137197979412                          Cecelia Mcfadin M 1701
_0000000 1147190822027                        Hermila Woodworth F 1501
_0000000 0317193865121                             Mellisa Font M 0409
_0000000 1746194009299                                Linn Luca F 0506
_0000000 0315197896713                         Argelia Sherlock M 0801
_0000000 1110194337481                              Heide Kirst M 0401
_0000000 1341195069295                           Crystle Junior M 0901
_0000000 1837195326971                        Kenyatta Cheshire M 1101
_0000000 1416196664858                         Araceli Durocher F 1001
_0000000 1440194640557                         Billye Tetterton F 0502
_0000000 0506192051035                             Wan Ellinger F 0502
_0000000 0918196037816                             Demetra Lunn F 0502
_0000000 0912192573693                          Stephenie Lamey M 0501
_0000000 1018193478372                           Ray Jakubowski M 0506
_0000000 1841193473456                            Susie Rosenow F 0404
_0000000 0435191506194                            Chi Yoshimura F 1104
_0000000 1339199372833                              Leo Holeman F 0901
_0000000 0928192368482                             Vashti Heist F 0101
_0000000 0711196704195                          Elliott Wingard M 0502
_0000000 1706191637007                             Margot Remus M 0318
_0000000 1023194570029                           Jaleesa Reeves F 0826
_0000000 0641197629038                               Brock Razo M 0201
_0000000 1327199285283                              Leesa Ridge M 0301
_0000000 0250194185906                             Janiece Saez M 1401
_0000000 1815199517080                          Tabitha Leitzel M 1501
_0000000 1705190270081                           Adolph Vasques M 0201
_0000000 1205194473830                               Amy Cooper M 0404
_0000000 0804194298712                               Keira Zerr F 0901
_0000000 1148190656771                          Latashia Mcadoo F 0308
_0000000 0418190066908                               Joana Brar F 0404
_0000000 0403196670237                               Ai Thurman F 0101
_0000000 0539198831061                       Thresa Steinhauser F 1001
_0000000 0225198483812                             Emma Reuther F 0801
_0000000 1426198435359                            Sandra Durfee M 0401
_0000000 0141199240360                          Eleonor Mongeau F 0826
_0000000 0131193675403                      Margarette Gibeault F 1601
_0000000 0909196767717                            Bette Dimitri M 0826
_0000000 1514193809656                         Oliva Gottschalk F 0318
_0000000 0134195702375                            Lorita Gitlin F 0801
_0000000 1438193832577                            Loretta Swick F 0301
_0000000 1215193950213                        Stephan Rivenbark M 0318
_0000000 1822193553411                      Anneliese Bomberger M 0901
_0000000 1827193365270                             Lynne Vanwyk F 0502
_0000000 0444196818785                              Marg Lozada F 0901
_0000000 0238197631784                        Paulette Fitzhugh M 0404
_0000000 1106194933604                              Bea Hartsoe M 0306
_0000000 1526195519856                         Clarinda Poulter F 1501
_0000000 1043199099495                              Rosalia Ali M 0502
_0000000 1831193502087                             Alma Ambrose M 0201
_0000000 1102190224051                            Pierre Wilkie F 0801
_0000000 0217191731380                            Elaine Lauria F 0318
_0000000 1746198066994                            Jeanine Laing F 0701
_0000000 0829197247966                               Adele Harm M 0404
_0000000 0147198516664                             Eddy Mcglynn F 0318
_0000000 1748191847778                          Vennie Prisbrey M 0701
_0000000 1750196665046                          Terrence Burden M 1601
_0000000 1605198786746                           Kristian Tuten M 1701
_0000000 0720192921609                           Mckinley Kifer F 1101
_0000000 1350198658637                     Guadalupe Yarborough F 0502
_0000000 0944192338395                                Esta Walt F 0801
_0000000 1521193883394                           Julianna Redus F 0318
_0000000 1431190928875                            Laverne Maria F 0801
_0000000 1016197069457                           Dotty Mcmullan M 0201
_0000000 0648191067208                            Merrie Stutts F 0415
_0000000 1104197559111                              Elton Glanz M 1501
_0000000 1027191109818                             Elmo Coletta F 0415
_0000000 1646190542612                        Antonetta Belcher F 0101
_0000000 0319193626830                            Kimbery Armor M 0601
_0000000 0311198914352                           Fidel Humphery F 0308
_0000000 1303192539865                            Kyung Warlick F 0901
_0000000 0636194354284                       Philomena Howerton M 1104
_0000000 1423197659442                           Rachele Pinnix M 0401
_0000000 1639196993276                            Heather Suder M 0505
_0000000 0806195714432                               Gita Magno F 0901
_0000000 1025196278227                           Lucile Demaria M 0502
_0000000 0530196419938                           Pamila Leveque M 0401
_0000000 1827191448036                         Gilbert Farrelly F 1101
_0000000 1143197492960                         Corrina Gonzalez M 0823
_0000000 1021194014311                          Babette Samford M 1001
_0000000 0943190350123                          Alexis Southall M 0506
_0000000 0613196217012                          Fernando Racine F 1001
_0000000 1244193845691                            Jesus Cordray F 1701
_0000000 1235192217118                             Miquel Coach F 0318
_0000000 0716198664978                         Garnett Bennetts M 0601
_0000000 1837197457233                               Jami Dawdy M 0101
_0000000 0744194964896                        Cleveland Fillion F 1401
_0000000 0135193324903                              Hal Dolphin F 0415
_0000000 0320191538857                          Phuong Cullison M 0107
_0000000 1313198086505                       Rebecka Casagrande F 1501
_0000000 1219191883540                          Teri Bainbridge F 0404
_0000000 0133195072129                               Ronny Bean F 1101
_0000000 1524197269901                           Carlos Grewell F 0823
_0000000 0925194807293                          Judie Stansbury M 1601
_0000000 1449199441587                          Isadora Sumners F 0301
_0000000 1047197631987                             Harris Mauer M 0201
_0000000 1023192761281                               Elma Azure F 1101
_0000000 0303191246283                         Dorine Mcquillan M 0301
_0000000 0236193569476                     Jovita Heatherington F 0107
_0000000 1138198982988                             Janee Arcuri M 0107
_0000000 1523196755512                           Horacio Lashua M 0506
_0000000 0243199309342                             Lynne Fabian M 0401
_0000000 1435192437273                             Mistie Lintz M 0409
_0000000 1224193414955                          Ardath Demeritt M 0506
_0000000 1147194197495                             Patti Liller F 1701
_0000000 1512196746582                         Henrietta Laning F 1401
_0000000 1341197793183                          Odis Wawrzyniak M 0502
_0000000 1117193712312                      Charlotte Cockerham F 0409
_0000000 0714196094618                          Valerie Gaetano M 1601
_0000000 1026197886144                            Temeka Wiggin M 0308
_0000000 0727194226623                            Sheron Mieles M 0901
_0000000 1008194539620                         Eleonora Beattie M 0201
_0000000 0435195998034                           Vernetta Mccue F 0601
_0000000 1849192667192                            Jamie Dirksen M 0101
_0000000 0735192251615                          Erlene Isenhour M 0401
_0000000 1213193557890                             Nelia Giffen M 1401
_0000000 1519199519303                           Theola Crespin F 0601
_0000000 0245190116513                             Latina Leeks F 1101
_0000000 1127199082793                         Creola Holzinger F 0401
_0000000 0836193058160                             Jenee Goewey M 0101
_0000000 0234190897895                             Layla Pitzen F 0107
_0000000 0444199761211                             Ardis Maciel F 1701
_0000000 1345190930290                         Fredric Jamieson F 1701
_0000000 0714195762674                              Lou Millsap M 0306
_0000000 1324190568504                              Sharron Foy F 0823
_0000000 0429194566755                          King Flewelling F 0506
_0000000 0925195889538                              Dania Crete M 0404
_0000000 1734192629787                         Leonel Marroquin M 0701
_0000000 0813191707916                           Javier Grissom M 0506
_0000000 0544191059016                            Edwina Locust M 1401
