Avail_head:    495
_         29949054 1247194119925
_         22359652 1347199452792
_         24990078 0303194631954
_         20154233 1809193853941
_         26855916 1007191748386
_         29621070 1440193545166
_         28545445 0711194536338
_         27137413 0426198350409
_         26465430 0926193779429
_         23594315 0818196648235
_         23974429 0341198466824
_         20867124 1843197714284
*       0 25574139 0427194558357
_         25718404 0802196741926
_         27291387 0619191655777
_         27287047 0921193926329
_         21819395 1049190132803
_         26441371 1012198975752
